epoch,total_loss,recon_loss,kl_loss
1,214.18290148111979,201.39398297526043,12.788919179375966
2,146.13823447265625,127.40588442382813,18.73234985961914
3,130.51600291341146,109.05995074869791,21.45605184733073
4,123.17320395507812,100.45578916015624,22.71741484781901
5,119.10308017578124,95.70054379882812,23.402536381022134
6,116.46183938802083,92.59570169270833,23.86613780924479
7,114.56247068684895,90.381616796875,24.18085388590495
8,113.18763548177084,88.73788696289063,24.449748396809895
9,112.00604213867187,87.39933377278646,24.606708341471354
10,111.11819155273437,86.3649509033203,24.75324073893229
